,plant_name,CEMS,meanMonthlyEmission,hoursWithData,hoursWithNoData,standard,emission_exceedance,revised_exceedance,charge_for_data,charge_for_nodata
141,JK Paper LTD,CEMS-2,30.50364667,571,149,50,-19.49635333,0,0,1272609
142,JK Paper LTD,CEMS-3,27.10381825,205,515,50,-22.89618175,0,0,4398615
143,Jai Balaji Jyoti Steels Limited,CEMS-1,10.05345378,499,221,100,-89.94654622,0,0,1788111
144,Jai Balaji Jyoti Steels Limited,CEMS-2,40.44252513,647,73,100,-59.55747487,0,0,590643
145,Jay Jagannath Steel and Power Limited,CEMS-1,68.10225669,235,485,100,-31.89774331,0,0,3924135
146,Jay Jagannath Steel and Power Limited,CEMS-2,59.22492624,220,500,100,-40.77507376,0,0,4045500
147,Jindal India Thermal Power Ltd,CEMS-1,37.95697717,246,474,100,-62.04302283,0,0,3835134
148,Jindal India Thermal Power Ltd,CEMS-2,44.65263496,517,203,100,-55.34736504,0,0,1642473
149,Jindal Stainless Ltd,CEMS-1,38.34499359,525,195,100,-61.65500641,0,0,1577745
150,Jindal Stainless Ltd,CEMS-3,41.58282092,528,192,100,-58.41717908,0,0,1553472
151,Jindal Stainless Ltd,CEMS-4,42.93951149,528,192,100,-57.06048851,0,0,1553472
152,Jindal Stainless Ltd,CEMS-5,36.69954924,566,154,100,-63.30045076,0,0,1246014
153,Jindal Stainless Ltd,CEMS-6,10.53902439,563,157,100,-89.46097561,0,0,1270287
154,Jindal Stainless Ltd,CEMS-7,25.49339043,558,162,100,-74.50660957,0,0,1310742
155,Jindal Stainless Ltd,CEMS-8,37.73436063,516,204,100,-62.26563937,0,0,1650564
156,Jindal Steel and Power Limited,CEMS-1,38.87182773,589,131,50,-11.12817227,0,0,1118871
157,Jindal Steel and Power Limited,CEMS-10,8.9643326,591,129,100,-91.0356674,0,0,1043739
158,Jindal Steel and Power Limited,CEMS-12,34.43287781,580,140,100,-65.56712219,0,0,1132740
159,Jindal Steel and Power Limited,CEMS-15,1.372825943,189,531,100,-98.62717406,0,0,4296321
160,Jindal Steel and Power Limited,CEMS-2,21.48170369,443,277,50,-28.51829631,0,0,2365857
161,Jindal Steel and Power Limited,CEMS-21,17.69473233,100,620,50,-32.30526767,0,0,5295420
162,Jindal Steel and Power Limited,CEMS-22,31.80638962,272,448,100,-68.19361038,0,0,3624768
163,Jindal Steel and Power Limited,CEMS-23,60.7728078,544,176,100,-39.2271922,0,0,1424016
164,Jindal Steel and Power Limited,CEMS-25,35.8639199,525,195,100,-64.1360801,0,0,1577745
165,Jindal Steel and Power Limited,CEMS-26,0.983500842,524,196,100,-99.01649916,0,0,1585836
166,Jindal Steel and Power Limited,CEMS-27,39.39357648,523,197,100,-60.60642352,0,0,1593927
167,Jindal Steel and Power Limited,CEMS-28,4.069628757,513,207,100,-95.93037124,0,0,1674837
168,Jindal Steel and Power Limited,CEMS-29,1,526,194,100,-99,0,0,1569654
169,Jindal Steel and Power Limited,CEMS-3,24.63472941,588,132,50,-25.36527059,0,0,1127412
170,Jindal Steel and Power Limited,CEMS-30,17.67218158,525,195,100,-82.32781842,0,0,1577745
171,Jindal Steel and Power Limited,CEMS-33,0.31,526,194,100,-99.69,0,0,1569654
172,Jindal Steel and Power Limited,CEMS-34,0,517,203,100,-100,0,0,1642473
173,Jindal Steel and Power Limited,CEMS-35,22.95132793,523,197,100,-77.04867207,0,0,1593927
174,Jindal Steel and Power Limited,CEMS-36,0,524,196,100,-100,0,0,1585836
175,Jindal Steel and Power Limited,CEMS-37,0.124932633,526,194,100,-99.87506737,0,0,1569654
176,Jindal Steel and Power Limited,CEMS-4,53.18876196,406,314,50,3.188761957,3.188761957,11651.73619,2681874
177,Jindal Steel and Power Limited,CEMS-5,40.78796816,533,187,50,-9.212031842,0,0,1597167
178,Jindal Steel and Power Limited,CEMS-6,43.05470601,582,138,50,-6.945293994,0,0,1178658
179,Jindal Steel and Power Limited,CEMS-7,40.93434589,589,131,50,-9.06565411,0,0,1118871
180,Jindal Steel and Power Limited,CEMS-8,13.33810831,588,132,50,-36.66189169,0,0,1127412
181,Jindal Steel and Power Ltd,CEMS-1,27.00872208,565,155,100,-72.99127792,0,0,1254105
182,Jindal Steel and Power Ltd,CEMS-2,8.887582008,562,158,100,-91.11241799,0,0,1278378
183,Kamal Jeet Singh Ahluwalia,CEMS-1,39.74219623,543,177,100,-60.25780377,0,0,1432107
184,Kamal Jeet Singh Ahluwalia,CEMS-2,40.41322042,542,178,100,-59.58677958,0,0,1440198
185,Kamal Jeet Singh Ahluwalia,Stack-3,48.25120266,512,208,100,-51.74879734,0,0,1682928
186,Kapilas Cement Manufacturing Works (A unit of OCL India Ltd),CEMS-1,10.62551446,526,194,50,-39.37448554,0,0,1656954
187,Karakola Sponge Iron Ltd.,CEMS-1,65.05818136,564,156,100,-34.94181864,0,0,1262196
188,Karakola Sponge Iron Ltd.,CEMS-2,48.58845938,550,170,100,-51.41154062,0,0,1375470
189,Kaushal Ferrometals Pvt. Ltd.,CEMS-1,21.16706482,625,95,100,-78.83293518,0,0,768645
190,Khedaria Ispat Ltd.,CEMS-1,36.65733436,509,211,100,-63.34266564,0,0,1707201
191,L N Metallics Ltd,CEMS-1,20.95697375,472,248,100,-79.04302625,0,0,2006568
192,MGM Minerals Limited (Steel Division),CEMS-1,87.66223868,588,132,100,-12.33776132,0,0,1068012
193,MSP Sponge Iron Limited,CEMS-1,16.98224085,108,612,100,-83.01775915,0,0,4951692
194,MSP Sponge Iron Limited,CEMS-2,24.34239837,81,639,100,-75.65760163,0,0,5170149
195,MSP Sponge Iron Limited,CEMS-3,26.25926941,109,611,100,-73.74073059,0,0,4943601
196,Maa Shakumbari Sponge Pvt. Ltd.,CEMS-1,3.626060522,502,218,100,-96.37393948,0,0,1763838
197,Mahakali Ispat Pvt. Ltd,CEMS-1,0.854746993,262,458,100,-99.14525301,0,0,3705678
198,Maithan Ispat Limited,CEMS-1,16.98874596,562,158,100,-83.01125404,0,0,1278378
199,Maithan Ispat Limited,CEMS-2,27.12364633,566,154,100,-72.87635367,0,0,1246014
200,Mayur Electro Ceramics Pvt. Ltd.,CEMS-1,10.71223289,104,616,100,-89.28776711,0,0,4984056
201,Mayur Electro Ceramics Pvt. Ltd.,CEMS-2,243.8465033,44,676,100,143.8465033,143.8465033,56963.21529,5469516
202,Meta Sponge Pvt. Ltd.,CEMS-1,30.75197357,564,156,100,-69.24802643,0,0,1262196
203,Mideast Integrated Steels Ltd.,CEMS-1,138.5940205,527,193,100,38.59402046,38.59402046,183051.439,1561563
204,Mideast Integrated Steels Ltd.,CEMS-2,0,527,193,100,-100,0,0,1561563
205,Mideast Integrated Steels Ltd.,CEMS-3,0.089685127,526,194,100,-99.91031487,0,0,1569654
206,N. K. Bhojani Pvt. Ltd.,CEMS-1,97.45638469,363,357,100,-2.543615312,0,0,2888487
207,"NALCO Ltd.,Captive Power Plant",CEMS-1,57.08022267,551,169,100,-42.91977733,0,0,1367379
208,"NALCO Ltd.,Captive Power Plant",CEMS-10,34.89882726,590,130,50,-15.10117274,0,0,1110330
209,"NALCO Ltd.,Captive Power Plant",CEMS-2,43.16029116,440,280,100,-56.83970884,0,0,2265480
210,"NALCO Ltd.,Captive Power Plant",CEMS-3,40.26209307,549,171,100,-59.73790693,0,0,1383561
211,"NALCO Ltd.,Captive Power Plant",CEMS-4,62.59272353,561,159,100,-37.40727647,0,0,1286469
212,"NALCO Ltd.,Captive Power Plant",CEMS-5,50.05536232,108,612,100,-49.94463768,0,0,4951692
213,"NALCO Ltd.,Captive Power Plant",CEMS-6,64.87224443,154,566,100,-35.12775557,0,0,4579506
214,"NALCO Ltd.,Captive Power Plant",CEMS-8,41.70434715,309,411,50,-8.295652851,0,0,3510351
215,"NALCO Ltd.,Captive Power Plant",CEMS-9,41.83127024,592,128,50,-8.168729756,0,0,1093248
216,"NALCO Ltd.,Refinery",CEMS-1,28.12850601,660,60,100,-71.87149399,0,0,485460
217,"NALCO Ltd.,Refinery",CEMS-2,38.32129838,665,55,100,-61.67870162,0,0,445005
218,"NALCO Ltd.,Refinery",CEMS-4,491.5733257,625,95,100,391.5733257,391.5733257,2202599.957,768645
219,"NALCO Ltd.,Refinery",CEMS-5,58.17317864,635,85,100,-41.82682136,0,0,687735
220,"NALCO Ltd.,Refinery",CEMS-6,80.05309085,538,182,100,-19.94690915,0,0,1472562
221,"NALCO Ltd.,Refinery",CEMS-7,29.24204755,674,46,100,-70.75795245,0,0,372186
222,"NALCO Ltd.,Refinery",CEMS-9,44.29102251,638,82,100,-55.70897749,0,0,663462
223,"NALCO Ltd.,Smelter Plant",CEMS-10,0.044093162,537,183,100,-99.95590684,0,0,1480653
224,"NALCO Ltd.,Smelter Plant",CEMS-11,20.9140995,552,168,100,-79.0859005,0,0,1359288
225,"NALCO Ltd.,Smelter Plant",CEMS-2,6.449847328,150,570,100,-93.55015267,0,0,4611870
226,"NALCO Ltd.,Smelter Plant",CEMS-4,5.133064576,591,129,100,-94.86693542,0,0,1043739
227,"NALCO Ltd.,Smelter Plant",CEMS-5,11.2443955,379,341,100,-88.7556045,0,0,2759031
228,"NALCO Ltd.,Smelter Plant",CEMS-6,26.83832024,413,307,100,-73.16167976,0,0,2483937
229,"NALCO Ltd.,Smelter Plant",CEMS-7,37.15493857,555,165,100,-62.84506143,0,0,1335015
230,"NALCO Ltd.,Smelter Plant",CEMS-8,20.63170254,512,208,100,-79.36829746,0,0,1682928
