,plant_name,CEMS,pollution_charge
211,"NALCO Ltd.,Captive Power Plant",CEMS-4,1286469.0
212,"NALCO Ltd.,Captive Power Plant",CEMS-5,4951823.598
213,"NALCO Ltd.,Captive Power Plant",CEMS-6,4579506.0
214,"NALCO Ltd.,Captive Power Plant",CEMS-8,3510351.0
215,"NALCO Ltd.,Captive Power Plant",CEMS-9,1093248.0
216,"NALCO Ltd.,Refinery",CEMS-1,485460.0
217,"NALCO Ltd.,Refinery",CEMS-2,445005.0
218,"NALCO Ltd.,Refinery",CEMS-4,3643905.568139377
219,"NALCO Ltd.,Refinery",CEMS-5,687735.0
220,"NALCO Ltd.,Refinery",CEMS-6,1472562.0
221,"NALCO Ltd.,Refinery",CEMS-7,372186.0
222,"NALCO Ltd.,Refinery",CEMS-9,663462.0
223,"NALCO Ltd.,Smelter Plant",CEMS-10,1480653.0
224,"NALCO Ltd.,Smelter Plant",CEMS-11,1359288.0
225,"NALCO Ltd.,Smelter Plant",CEMS-2,4611870.0
226,"NALCO Ltd.,Smelter Plant",CEMS-4,1043739.0
227,"NALCO Ltd.,Smelter Plant",CEMS-5,2759031.0
228,"NALCO Ltd.,Smelter Plant",CEMS-6,2483937.0
229,"NALCO Ltd.,Smelter Plant",CEMS-7,1335015.0
230,"NALCO Ltd.,Smelter Plant",CEMS-8,1682928.0
231,"NALCO Ltd.,Smelter Plant",CEMS-9,1496835.0
232,NTPC Limited (TSTPS),CEMS-3,1051830.0
233,NTPC Limited (TSTPS),CEMS-5,1059921.0
234,NTPC Limited (TSTPS),CEMS-6,1051830.0
235,NTPC Limited (TTPS),CEMS-4,1149301.2825
236,NTPC Limited (TTPS),CEMS-6,1043739.0
237,NTPC Limited (TTPS),UNIT-1,1011375.0
238,Narbheram Power and Steel Pvt. Ltd.,CEMS-1,906192.0
239,Nava Bharat Ventures Ltd,CEMS-1,4825665.0
240,Nava Bharat Ventures Ltd,CEMS-2,1042002.0
241,Neelachal Ispat Nigam Limited,CEMS-3,3989324.8246153845
242,Neelachal Ispat Nigam Limited,CEMS-4,4992147.0
243,"OCL India Ltd,Cement Unit",CEMS--9,1735760.7514285715
244,"OCL India Ltd,Cement Unit",CEMS-1,1728333.3666455243
245,"OCL India Ltd,Cement Unit",CEMS-10,1752921.0
246,"OCL India Ltd,Cement Unit",CEMS-2,1735479.0
247,"OCL India Ltd,Cement Unit",CEMS-3,1735700.91975
248,"OCL India Ltd,Cement Unit",CEMS-4,1699659.0
249,"OCL India Ltd,Cement Unit",CEMS-5,1744665.0024253246
250,"OCL India Ltd,Cement Unit",CEMS-6,1735479.0
251,"OCL India Ltd,Cement Unit",CEMS-7,1744200.0
252,"OCL India Ltd,Cement Unit",CEMS-8,1744200.0
253,Odisha Power Generation Corporation LTD,CEMS-1,1173195.0
254,Odisha Power Generation Corporation LTD,CEMS-2,598734.0
255,Patnaik Minerals Pvt. Ltd.,CEMS-1,1569654.0
256,Patnaik Minerals Pvt. Ltd.,CEMS-2,4369140.0
257,Patnaik Steels and Alloys Ltd.,CEMS-1,1245311.0776595906
258,Penguine Trading and Agencies Ltd(Seven Star),CEMS-1,3630607.6280853716
259,Penguine Trading and Agencies Ltd(Seven Star),CEMS-2,3652676.7638391657
260,Pooja Sponge Pvt. Ltd.,CEMS-1,1575069.0209533756
261,Pooja Sponge Pvt. Ltd.,CEMS-2,5811336.0
262,R. B. Sponge Pvt. Ltd.,CEMS-1,1852839.0
263,Reliable Sponge Pvt. Ltd. (Bonai Unit),CEMS-1,419628.56669760996
264,Reliable Sponge Pvt. Ltd.(KALUNGA),CEMS-1,1565868.6040197392
265,Rexon Strips Ltd.,CEMS-1,473365.6911511604
266,Rourkela Steel Plant,CEMS-1,1036524.3983173897
267,Rourkela Steel Plant,CEMS-10,550188.0
268,Rourkela Steel Plant,CEMS-11,3988602.0
269,Rourkela Steel Plant,CEMS-12,787023.0
270,Rourkela Steel Plant,CEMS-13,349826.1692864157
271,Rourkela Steel Plant,CEMS-14,4393575.0
272,Rourkela Steel Plant,CEMS-15,350198.3002516696
273,Rourkela Steel Plant,CEMS-16,466101.0
274,Rourkela Steel Plant,CEMS-17,345106.86600563914
275,Rourkela Steel Plant,CEMS-18,375985.57006317424
276,Rourkela Steel Plant,CEMS-19,343845.0
277,Rourkela Steel Plant,CEMS-2,376057.7418590909
278,Rourkela Steel Plant,CEMS-20,1344816.0
279,Rourkela Steel Plant,CEMS-3,364759.47157389164
280,Rourkela Steel Plant,CEMS-4,364465.42263932654
281,Rourkela Steel Plant,CEMS-5,372186.0
282,Rourkela Steel Plant,CEMS-6,1922610.0353225805
283,Rourkela Steel Plant,CEMS-7,401427.0
284,Rourkela Steel Plant,CEMS-8,393691.92715487455
285,Rourkela Steel Plant,CEMS-9,3903776.584
286,Rungta Mines Limited,CEMS-1,1585972.4980196906
287,Rungta Mines Limited,CEMS-2,1376365.5
288,Rungta Mines Limited,CEMS-3,1520153.5392857143
289,Rungta Mines Limited,CEMS-4,695826.0
290,Rungta Mines Limited,CEMS-5,2031551.685
291,SMC Power Generation Limited,CEMS-2,1574767.7586428572
292,Sakthi Sugars Limited,CEMS-1,4714497.0
293,Sakthi Sugars Limited (Distillery),CEMS-1,2292300.0
294,Samaleswari Ferro Metals Ltd,CEMS-1,4669455.190094018
295,Scan Steels Limited (Unit-2),CEMS-1,1796686.8
296,Scan Steels Limited (Unit-2),CEMS-2,1935613.5324440873
297,Scan Steels Limited (Unit-2),CEMS-3,2026173.1328920503
298,Scan Steels Limited (Unit-I),CEMS-1,1158797.8312272727
299,Seeta Integrated Steel and Energy Ltd.,CEMS-1,1577745.0
300,Seeta Integrated Steel and Energy Ltd.,CEMS-2,1197468.0
301,Sesa Sterlite Ltd (IPP),CEMS-2,2734758.0
302,Sesa Sterlite Ltd (IPP),CEMS-3,2572938.0
303,Sesa Sterlite Ltd (IPP),CEMS-4,1682928.0
304,Sesa Sterlite Ltd (Smelter and CPP),CEMS-10,2346390.0
305,Sesa Sterlite Ltd (Smelter and CPP),CEMS-11,469278.0
306,Sesa Sterlite Ltd (Smelter and CPP),CEMS-12,2750940.0
307,Sesa Sterlite Ltd (Smelter and CPP),CEMS-13,453096.0
308,Sesa Sterlite Ltd (Smelter and CPP),CEMS-14,1092285.0
309,Sesa Sterlite Ltd (Smelter and CPP),CEMS-15,1132740.0
310,Sesa Sterlite Ltd (Smelter and CPP),CEMS-16,5785065.0
311,Sesa Sterlite Ltd (Smelter and CPP),CEMS-17,5348151.0
312,Sesa Sterlite Ltd (Smelter and CPP),CEMS-18,5809338.0
313,Sesa Sterlite Ltd (Smelter and CPP),CEMS-2,2467755.0
314,Sesa Sterlite Ltd (Smelter and CPP),CEMS-20,5526153.0
315,Sesa Sterlite Ltd (Smelter and CPP),CEMS-21,4320594.0
316,Sesa Sterlite Ltd (Smelter and CPP),CEMS-22,4304412.0
317,Sesa Sterlite Ltd (Smelter and CPP),CEMS-29,5542335.0
318,Sesa Sterlite Ltd (Smelter and CPP),CEMS-3,2071296.0
319,Sesa Sterlite Ltd (Smelter and CPP),CEMS-4,1513017.0
320,Sesa Sterlite Ltd (Smelter and CPP),CEMS-5,1237923.0
321,Sesa Sterlite Ltd (Smelter and CPP),CEMS-6,1480653.0
322,Sesa Sterlite Ltd (Smelter and CPP),CEMS-7,1432107.0
323,Sesa Sterlite Ltd (Smelter and CPP),CEMS-8,1488744.0
324,Sesa Sterlite Ltd (Smelter and CPP),CEMS-9,1456380.0
325,Sesa Sterlite Ltd (Smelter and CPP),CPP,5574699.0
326,Shiv Mettalicks (P) Ltd,CEMS-2,987102.0
327,Shiva Cement Ltd.,CEMS-1,4735157.521869388
328,Shiva Cement Ltd.,stack-2,1569654.0
329,Shiva Cement Ltd.,stack-3,4272175.256571429
330,Shiva Cement Ltd.,stack-4,5809338.0
331,Shree Ganesh Metalics(Kuarmunda),CEMS-3,396459.0
332,Shree Hari Sponge Pvt. Ltd.,CEMS-1,2200752.0
333,Shri Hardev Steels Pvt. Ltd,CEMS-1,1585836.0
334,Shri Jagannath Steels and Power Ltd.,CEMS-2,1278378.0
335,Shri Mahavir Ferro Alloys Pvt. Ltd.,CEMS-1,388368.0
336,Shri Mahavir Ferro Alloys Pvt. Ltd.,CEMS-2,3325401.0
337,Shri Mahavir Ferro Alloys Pvt. Ltd.,CEMS-3,1577745.0
338,Shri Mahavir Ferro Alloys Pvt. Ltd.,CEMS-4,3147399.0
339,Shyam Metalics and Energy Ltd,CEMS-2,2363524.29
340,Shyam Metalics and Energy Ltd,CEMS-3,453096.0
341,Shyam Metalics and Energy Ltd,CEMS-4,420732.0
342,Shyam Metalics and Energy Ltd,CEMS-6,792918.0
343,Shyam Metalics and Energy Ltd,CEMS-7,802376.41
344,Shyam Metalics and Energy Ltd,CEMS-8,792918.0
345,Shyam Metalics and Energy Ltd,CEMS-9,1165104.0
346,Sponge Udyog Pvt. Ltd.,CEMS-1,415262.67238010175
347,Sree Metaliks Ltd,CEMS-1,1288105.4936892926
348,Sree Metaliks Ltd,CEMS-2,1739576.8018032787
349,Sree Metaliks Ltd,CEMS-4,5795479.734641149
350,Sree Metaliks Ltd,CEMS-5,213929415.0
351,Sri Balaji Metallics Pvt. Ltd.,CEMS-1,2629575.0
352,Sumrit Metaliks Pvt. Ltd.,CEMS-1,2075454.8507411594
353,Suraj Products Pvt. Ltd.,CEMS - 2,2690286.526412873
354,Suraj Products Pvt. Ltd.,CEMS-1,632021.1992635669
355,Surendra Mining Industries (P) Ltd.,CEMS-1,4973364.779195913
356,Surendra Mining Industries (P) Ltd.,CEMS-2,1027557.0
357,Swastik Ispat Pvt. Ltd.,CEMS-1,2249298.0
358,Swastik Ispat Pvt. Ltd.,CEMS-2,2014659.0
359,TATA STEEL KALINGANAGAR,CEMS-,1246014.0
360,TATA STEEL KALINGANAGAR,CEMS-1,1435575.9117826684
361,TATA STEEL KALINGANAGAR,CEMS-10,1443429.0
362,TATA STEEL KALINGANAGAR,CEMS-11,5340060.0
363,TATA STEEL KALINGANAGAR,CEMS-13,1306773.0
364,TATA STEEL KALINGANAGAR,CEMS-14,1315314.0
365,TATA STEEL KALINGANAGAR,CEMS-15,2596464.0
366,TATA STEEL KALINGANAGAR,CEMS-16,1392183.0
367,TATA STEEL KALINGANAGAR,CEMS-2,2698956.0
368,TATA STEEL KALINGANAGAR,CEMS-3,1327611.3473900792
369,TATA STEEL KALINGANAGAR,CEMS-4,5043060.0
370,TATA STEEL KALINGANAGAR,CEMS-5,2331714.63
371,TATA STEEL KALINGANAGAR,CEMS-6,1366560.0
372,TATA STEEL KALINGANAGAR,CEMS-7,1332396.0
373,TATA STEEL KALINGANAGAR,CEMS-8,1315314.0
374,TATA STEEL KALINGANAGAR,CEMS-9,1306773.0
375,TRChemicals Ltd.,CEMS-1,396549.71035714285
376,Tata Sponge Iron Ltd,CEMS-1,1877112.0
377,Tata Sponge Iron Ltd,CEMS-2,1318833.0
378,Tata Sponge Iron Ltd,CEMS-3,1417652.8983
379,Thakur Prasad Sao and Sons Pvt. Ltd.,CEMS-1,1165104.0
380,Thakur Prasad Sao and Sons Pvt. Ltd.,CEMS-2,2149542.1010848586
381,Times Steel and Power Pvt. Ltd.,CEMS-1,3404013.6521030637
382,Toshali Cement Private Limited,CEMS-1,3244212.0
383,UltraTech Cement Ltd.,CEMS-1,1796526.0
384,UltraTech Cement Ltd.,CEMS-2,1796785.6796945701
385,Utkal Alumina International Ltd,CEMS-1,428823.0
386,Utkal Alumina International Ltd,CEMS-2,493551.0
387,Utkal Alumina International Ltd,CEMS-3,412641.0
388,Utkal Alumina International Ltd,CEMS-4,518335.7986023184
389,Utkal Alumina International Ltd,CEMS-5,469278.0
390,Utkal Metallics Limited,CEMS-1,1587794.6794766972
391,VISA SunCoke Limited,CEMS-1,5323878.0
392,VISA SunCoke Limited,CEMS-2,1286469.0
393,VasundharaMetaliksPvt.Ltd.,CEMS-1,5785065.0
394,VasundharaMetaliksPvt.Ltd.,CEMS-2,3017998.6714285715
395,Vedanta Ltd.,CEMS-1,728821.7586255413
396,Viraj Steel and Energy Ltd.,CEMS-1,420732.0
397,Viraja Steel & Power Private Limited,CEMS-1,1087640.0220199688
398,Visa Steel Limited,CEMS-1,3260673.0
399,Visa Steel Limited,CEMS-2,2985579.0
400,Visa Steel Limited,CEMS-3,5801247.0
401,Visa Steel Limited,CEMS-4,1682928.0
402,Visa Steel Limited,CEMS-5,4126410.0
403,Vishal Metallics Pvt Ltd,CEMS-1,1056976.994958077
404,Yazdani Steel and Power Limited,CEMS-1,1413174.7727144093
405,Yazdani Steel and Power Limited,CEMS-2,1205559.0
